longitude,latitude,stratum,bathrooms,constructed_area,house_age,bedrooms,parking,administration,floor,rent_price,Localidad
-74.0483977,4.700991,5.0,2.0,97.0,12.0,2.0,2.0,0.0,0.0,4500000.0,USAQUEN
-74.0556926,4.6875059,6.0,1.0,42.0,12.0,1.0,1.0,0.0,5.0,2800000.0,USAQUEN
-74.0525124,4.6759273,6.0,4.0,116.0,23.0,4.0,2.0,0.0,7.0,5500000.0,CHAPINERO
-74.0492104,4.6728605,5.0,3.0,138.0,23.0,3.0,2.0,0.0,4.0,8000000.0,CHAPINERO
-74.050726890564,4.7004290297587,5.0,2.0,78.0,23.0,3.0,1.0,0.0,3.0,4000000.0,USAQUEN
-74.0458014,4.7175848,5.0,2.0,74.0,12.0,2.0,1.0,530000.0,2.0,3500000.0,USAQUEN
-74.0536599,4.660556,6.0,4.0,237.0,23.0,3.0,3.0,2200000.0,7.0,14000000.0,CHAPINERO
-74.054095444295,4.661083987291,6.0,2.0,138.0,31.0,2.0,1.0,1100000.0,0.0,4600000.0,CHAPINERO
-74.0541928,4.6579608,5.0,1.0,37.0,23.0,1.0,1.0,0.0,1.0,3500000.0,CHAPINERO
-74.0457215,4.6715543,6.0,4.0,167.0,23.0,3.0,2.0,0.0,3.0,11900000.0,CHAPINERO
-74.0447284,4.6675608,6.0,2.0,71.0,4.0,1.0,2.0,0.0,7.0,7107000.0,CHAPINERO
-74.1011947,4.6926316,3.0,1.0,40.0,23.0,2.0,0.0,0.0,3.0,1200000.0,ENGATIVA
-74.0482921,4.6934088,6.0,4.0,330.0,23.0,4.0,4.0,0.0,0.0,13000000.0,USAQUEN
-74.058085900758,4.673694015794,5.0,2.0,77.0,31.0,1.0,1.0,950000.0,0.0,2650000.0,CHAPINERO
-74.1578791,4.6919035,3.0,1.0,47.0,4.0,3.0,0.0,163400.0,0.0,1050000.0,FONTIBON
-74.056102,4.6828265,6.0,2.0,59.2,4.0,1.0,1.0,0.0,3.0,3800000.0,CHAPINERO
-74.0441202,4.775625,2.0,2.0,42.0,0.0,1.0,0.0,0.0,6.0,1450000.0,SUBA
-74.14511,4.6859209,3.0,1.0,72.0,23.0,2.0,0.0,0.0,0.0,1000000.0,FONTIBON
-74.0489007,4.6502899,6.0,5.0,310.0,31.0,4.0,2.0,0.0,3.0,14500000.0,CHAPINERO
-74.0747102,4.5921609,2.0,1.0,41.0,4.0,1.0,0.0,0.0,0.0,2400000.0,CANDELARIA
-74.056306139439,4.6742401861247,6.0,3.0,120.0,12.0,2.0,2.0,0.0,5.0,8100000.0,CHAPINERO
-74.071068,4.616395,4.0,1.0,49.0,12.0,1.0,1.0,0.0,0.0,2460420.0,SANTA FE
-74.0300841,4.7636175,3.0,1.0,36.0,23.0,2.0,0.0,120000.0,0.0,1380000.0,USAQUEN
-74.0705108,4.6048102,3.0,3.0,98.0,4.0,2.0,1.0,380000.0,20.0,3120000.0,SANTA FE
-74.0747102,4.5921609,2.0,1.0,31.0,4.0,1.0,0.0,0.0,0.0,2100000.0,CANDELARIA
-74.051849,4.679977,6.0,2.0,44.0,0.0,1.0,1.0,0.0,3.0,3299000.0,CHAPINERO
-74.0571842,4.7043284,5.0,2.0,144.0,12.0,3.0,2.0,0.0,5.0,3900000.0,SUBA
-74.0647797,4.6304311,4.0,1.0,36.0,23.0,1.0,1.0,0.0,0.0,2000000.0,CHAPINERO
-74.069480895996,4.7412567692301,4.0,1.0,36.0,0.0,1.0,0.0,210000.0,12.0,1526000.0,SUBA
-74.0686494,4.63937,3.0,1.0,30.0,0.0,1.0,0.0,100000.0,5.0,1350000.0,TEUSAQUILLO
-74.1122478,4.6635352,5.0,2.0,85.0,0.0,3.0,2.0,0.0,0.0,5000000.0,FONTIBON
-74.05181664904,4.6488506383382,6.0,3.0,189.0,23.0,3.0,3.0,1440000.0,4.0,9660000.0,CHAPINERO
-74.1911117,4.6421895,3.0,1.0,52.0,0.0,2.0,0.0,0.0,5.0,900000.0,BOSA
-74.1339756,4.6609837,3.0,1.0,40.0,0.0,2.0,0.0,0.0,4.0,1500000.0,FONTIBON
-74.1704747,4.6141883,3.0,1.0,52.0,31.0,3.0,0.0,0.0,3.0,900000.0,KENNEDY
-74.053742,4.653687,6.0,3.0,140.0,0.0,3.0,2.0,1100000.0,4.0,7500000.0,CHAPINERO
-74.054332316878,4.648065634374,5.0,3.0,100.0,31.0,3.0,1.0,0.0,0.0,3750000.0,CHAPINERO
-74.0635269,4.6402701,3.0,2.0,90.0,31.0,2.0,1.0,669900.0,2.0,3081000.0,CHAPINERO
-74.0630208,4.6436046,3.0,1.0,25.0,0.0,1.0,0.0,0.0,0.0,2300000.0,CHAPINERO
-74.068193677434,4.6218514143731,4.0,1.0,33.0,0.0,1.0,0.0,200000.0,9.0,1700000.0,SANTA FE
-74.0532373,4.6900629,6.0,2.0,120.0,12.0,2.0,2.0,0.0,0.0,5300000.0,USAQUEN
-74.1673674,4.6949413,3.0,1.0,43.0,0.0,2.0,0.0,150000.0,0.0,1060000.0,FONTIBON
-74.0473791,4.7773831,4.0,2.0,65.0,0.0,2.0,1.0,200000.0,7.0,1800000.0,SUBA
-74.0503841,4.6663607,6.0,3.0,249.0,23.0,3.0,4.0,2000000.0,0.0,15000000.0,CHAPINERO
-74.0740271,4.6230682,4.0,4.0,130.0,4.0,4.0,2.0,0.0,0.0,6000000.0,TEUSAQUILLO
-74.0498679,4.7784934,3.0,1.0,45.0,0.0,2.0,0.0,0.0,9.0,1300000.0,SUBA
-74.0848948,4.6692035,4.0,2.0,75.0,23.0,3.0,1.0,332000.0,0.0,2700000.0,BARRIOS UNIDOS
-74.0466405,4.7025804,5.0,3.0,138.0,12.0,3.0,2.0,0.0,0.0,7500000.0,USAQUEN
-74.0534821,4.66365,6.0,2.0,78.0,12.0,1.0,1.0,680000.0,2.0,3400000.0,CHAPINERO
-74.1123322,4.6546515,4.0,4.0,135.0,23.0,4.0,2.0,0.0,9.0,4500000.0,FONTIBON
-74.0406767,4.729514,4.0,2.0,100.0,12.0,4.0,1.0,0.0,2.0,3000000.0,USAQUEN
-74.0497261,4.6660446,6.0,4.0,160.0,0.0,3.0,2.0,0.0,6.0,12500000.0,CHAPINERO
-74.0491065,4.6673359,6.0,6.0,387.0,4.0,5.0,6.0,0.0,9.0,20416000.0,CHAPINERO
-74.063644,4.624335,5.0,3.0,68.0,4.0,2.0,1.0,0.0,7.0,4400000.0,SANTA FE
-74.0353333,4.7182358,4.0,3.0,105.0,23.0,3.0,2.0,631200.0,0.0,3500000.0,USAQUEN
-74.0679795,4.6435841,4.0,1.0,17.0,4.0,1.0,0.0,0.0,0.0,1300000.0,TEUSAQUILLO
-74.0487326,4.6562001,6.0,3.0,104.85,0.0,2.0,2.0,0.0,1.0,6340000.0,CHAPINERO
-74.043204657578,4.6714912905325,6.0,3.0,120.0,4.0,2.0,2.0,1471500.0,3.0,15528500.0,CHAPINERO
-74.050395619049,4.662145339957,6.0,3.0,180.0,23.0,3.0,3.0,1749600.0,6.0,9000000.0,CHAPINERO
-74.0514472,4.7139846,5.0,2.0,65.0,31.0,2.0,1.0,432000.0,1.0,2068000.0,USAQUEN
-74.04572725296,4.6714724554658,6.0,3.0,167.0,23.0,3.0,3.0,2200000.0,3.0,8600000.0,CHAPINERO
-74.0569272,4.6442082,4.0,2.0,63.0,4.0,2.0,1.0,400000.0,4.0,3200000.0,CHAPINERO
-74.0691423,4.7411288,4.0,1.0,38.0,4.0,2.0,0.0,0.0,7.0,1600000.0,SUBA
-74.1036938,4.6445999,3.0,2.0,77.0,4.0,3.0,1.0,0.0,0.0,3450000.0,TEUSAQUILLO
-74.0545146,4.6961165,6.0,2.0,73.0,23.0,2.0,2.0,900000.0,0.0,3000000.0,USAQUEN
-74.0614524,4.6956531,5.0,2.0,65.0,23.0,2.0,1.0,480000.0,0.0,3000000.0,SUBA
-74.1107594,4.6425512,4.0,2.0,78.0,4.0,3.0,1.0,0.0,10.0,3500000.0,PUENTE ARANDA
-74.1029244,4.701265,3.0,2.0,75.0,23.0,3.0,1.0,0.0,0.0,2000000.0,ENGATIVA
-74.0608558,4.6925585,5.0,2.0,83.0,4.0,2.0,1.0,0.0,2.0,4000000.0,SUBA
-74.0544283,4.691554,6.0,3.0,100.0,23.0,2.0,1.0,984000.0,4.0,4500000.0,USAQUEN
-74.1608737,4.6128447,3.0,2.0,58.0,31.0,3.0,0.0,0.0,0.0,1050000.0,KENNEDY
-74.0585841,4.6401754,5.0,1.0,24.0,12.0,1.0,1.0,0.0,7.0,2900000.0,CHAPINERO
-74.0754569,4.719623,6.0,3.0,133.0,23.0,3.0,2.0,0.0,2.0,4000000.0,SUBA
-74.0452212,4.6782734,6.0,1.0,70.0,12.0,1.0,2.0,703882.0,2.0,4700000.0,CHAPINERO
-74.0448749,4.6785083,6.0,4.0,138.0,31.0,4.0,1.0,1200000.0,1.0,5000000.0,CHAPINERO
-74.0549296,4.6432541,5.0,3.0,176.0,12.0,3.0,2.0,0.0,5.0,9200000.0,CHAPINERO
-74.0526622,4.6804408,6.0,2.0,93.0,23.0,2.0,1.0,0.0,5.0,4800000.0,CHAPINERO
-74.0523607,4.6986574,3.0,1.0,50.0,4.0,1.0,1.0,312000.0,0.0,2188000.0,USAQUEN
-74.049510040344,4.7226900117112,5.0,2.0,87.0,31.0,2.0,1.0,100000.0,0.0,2600000.0,USAQUEN
-74.1723217,4.6167933,3.0,1.0,68.0,31.0,3.0,0.0,0.0,1.0,1100000.0,KENNEDY
-74.0428076,4.6978843,5.0,1.0,50.0,12.0,1.0,1.0,550000.0,4.0,1750000.0,USAQUEN
-74.044789152856,4.7194956994468,5.0,3.0,110.0,23.0,3.0,2.0,0.0,4.0,3350000.0,USAQUEN
-74.0428643,4.6930751,4.0,2.0,65.0,4.0,2.0,2.0,0.0,3.0,4200000.0,USAQUEN
-74.0891419,4.7386757,3.0,1.0,50.0,23.0,2.0,1.0,0.0,3.0,1430000.0,SUBA
-74.0371218,4.6870176,6.0,5.0,161.0,23.0,3.0,2.0,0.0,0.0,10033000.0,USAQUEN
-74.04223002216,4.6782999973178,6.0,5.0,160.0,12.0,4.0,3.0,2200000.0,5.0,6500000.0,CHAPINERO
-74.0602248,4.6771531,4.0,1.0,33.0,4.0,1.0,1.0,200000.0,8.0,2300000.0,BARRIOS UNIDOS
